Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2023-11-13,1,43.554556586095,43.08723831176758,1,258692.84829918103,254687.96729212394,188645.53818234074,1,Ensemble (RF + HGB),18
2023-11-15,1,43.4610996771662,43.36763000488281,0,260376.30095415426,256345.35804546942,188587.1330805461,0,Ensemble (RF + HGB),18
2023-11-16,1,42.05912191814923,42.947044372558594,0,257851.13342328588,253859.28318975808,182291.24763721385,0,Ensemble (RF + HGB),18
2023-11-17,1,42.012393099912856,41.77872848510742,1,250836.64429657417,246953.38691539026,182234.01490202482,1,Ensemble (RF + HGB),18
2023-11-20,1,41.9656616057298,41.91892623901367,0,251678.38207565228,247782.09356636985,181819.39980392513,0,Ensemble (RF + HGB),18
2023-11-21,1,41.6852683317934,41.685264587402344,0,250275.4934115831,246400.9233309418,181762.2541246613,0,Ensemble (RF + HGB),18
2023-11-22,1,40.89081810673462,40.89081954956055,0,245505.69943756744,241704.97158882278,178090.1256371165,0,Ensemble (RF + HGB),18
2023-11-23,1,40.70388365973998,40.703887939453125,0,244383.37476440237,240600.02187131208,178090.1256371165,0,Ensemble (RF + HGB),18
2023-11-24,1,40.47022288433484,40.37675857543945,1,242419.3123121592,238666.36550282183,178033.66800893645,1,Ensemble (RF + HGB),18
2023-11-28,1,41.591806891237816,41.26467514038086,1,247750.30297753177,243914.82592661673,182754.7789471737,1,Ensemble (RF + HGB),18
2023-11-29,1,41.404870837394064,41.404876708984375,0,248592.0636597928,244743.55512621003,182697.46069045796,0,Ensemble (RF + HGB),18
2023-11-30,1,41.21794112991757,41.12447738647461,1,246908.5651984537,243086.11927563715,181660.89302580105,1,Ensemble (RF + HGB),18
2023-12-01,1,42.66664625711452,41.451602935791016,1,248872.60474751392,245019.7530955137,181603.77659103778,1,Ensemble (RF + HGB),18
2023-12-04,1,42.85357750283215,42.853572845458984,1,257289.93673192893,253306.77450808216,182187.12743261355,1,Ensemble (RF + HGB),18
2023-12-05,1,43.22743477429777,42.947044372558594,0,257851.13342328588,253859.28318975808,182129.91390760223,0,Ensemble (RF + HGB),18
2023-12-06,1,42.90031111323396,42.80684280395508,1,257009.37274102485,253030.55399016477,180541.05800279113,1,Ensemble (RF + HGB),18
2023-12-07,1,43.18070602416992,42.9937744140625,1,258131.69741418996,254135.50370767547,180484.14817758964,1,Ensemble (RF + HGB),18
2023-12-08,1,43.414361972864306,43.18070602416992,1,259254.02208735503,255240.45342518613,181249.4482563774,1,Ensemble (RF + HGB),18
2023-12-11,1,44.30227988455453,43.92841720581055,0,263743.2291672837,259660.16210077406,181192.4077331741,0,Ensemble (RF + HGB),18
2023-12-12,1,43.8349534476535,43.74148941040039,0,262620.92739730154,258555.23493187706,178898.82427628202,0,Ensemble (RF + HGB),18
2023-12-13,1,43.8816895338213,43.60129165649414,1,261779.18961822343,257726.52828089747,178325.427858417,1,Ensemble (RF + HGB),18
2023-12-14,1,43.92841766674578,43.694759368896484,1,262340.36340639746,258279.01441395967,179453.88258774029,1,Ensemble (RF + HGB),18
2023-12-15,1,44.489206863670745,44.25554275512695,1,265707.2687163439,261593.79592065062,179397.17334640285,1,Ensemble (RF + HGB),18
